Value,Description
1,EDIFACT SERVICE DATAT ELEMENT CODE LIST
2,WP.4 INTERNATIONAL CODE LIST
3,NON WP.4 CODE LIST
4,EDIFACT USER DATA ELEMENT CODE LIST
