Value,Description
AA,ADVANCE THE SPECIFIED NUMBER OF LINES BEFORE PRINT
AT,ADVANCED THREE LINES BEFORE PRINT
DS,ADVANCE TWO LINES BEFORE PRINT
LC,LINE CONTINUATION
NP,ADVANCE TO NEXT PAGE BEFORE PRINT
NS,NO ADVANCE BEFORE PRINT
SS,ADVANCE TO NEW LINE BEFORE PRINT
