Value,Description
BY,RISK OF LOSS IN TRANSIT TO DESTINATION IS BUYER'S
FE,RISK OF LOSS IN TRANSIT TO FREIGHT EQUALIZATION POINT IS SELLER'S
IM,SHARED RISK AND INVESTOR MARKETS
IR,INVESTOR RISK
LR,LENDER RISK
PP,RISK OF LOSS IN TRANSIT TO POOL POINT IS SELLER'S
SE,RISK OF LOSS IN TRANSIT TO DESTINATION IS SELLER'S
SR,SHARED RISK AND LENDER MARKETS
ZZ,MUTUALLY DEFINED
