Value,Description
1,NO EXCHANGE/NO RETURN
2,EXCHANGE PALLETS
3,RETURN PALLETS
4,PALLETS TO BE PURCHASED BY CUSTOMER
5,THIRD-PARTY PALLET EXCHANGE
