Element,Description,Req,Min Length,Max Length,Type
AT901,Equipment Length,O,4,5,N0
AT902,Height,O,1,8,R8
AT903,Width,O,1,8,R8
AT904,Weight Qualifier,C,1,2,ID
AT905,Weight Unit Code,C,1,1,ID
AT906,Weight,C,1,10,R
AT907,Volume Unit Qualifier,C,1,1,ID
AT908,Volume,C,1,8,R8
