Value,Description
G,RESIDUE LAST CONTAINED DESCRIPTION (SMALL MEANS OF CONTAINMENT)
P,RESIDUE LAST CONTAINED DESCRIPTION (PACKAGES)
R,RESIDUE LAST CONTAINED DESCRIPTION (RAIL CAR)
