Value,Description
1,U.S. CITIZEN
2,NON-RESIDENT ALIEN
3,RESIDENT ALIEN
4,ILLEGAL ALIEN
5,ALIEN
6,U.S. CITIZEN - NON-RESIDENT
7,U.S. CITIZEN - RESIDENT
8,CITIZEN
9,NON-CITIZEN WITH STUDENT AUTHORIZATION
A,NON-PERMANENT RESIDENT ALIEN
B,PERMANENT VISA
C,TEMPORARY VISA
D,WORK PERMIT
E,NORDIC CITIZEN
F,NON-NORDIC CITIZEN
G,NATURALIZED CITIZEN
H,ELIGIBLE NON-CITIZEN
I,INELIGIBLE NON-CITIZEN
