Value,Description
A,COMMON LAW
B,REGISTERED DOMESTIC PARTNER
C,NOT APPLICABLE
D,DIVORCED
I,SINGLE
K,UNKNOWN
M,MARRIED
R,UNREPORTED
S,SEPARATED
U,UNMARRIED (SINGLE OR DIVORCED OR WIDOWED)
W,WIDOWED
X,LEGALLY SEPARATED
