Value,Description
CC,FIRST TWO DIGITS OF YEAR EXPRESSED IN FORMAT CCYY
CD,MONTH AND YEAR EXPRESSED IN FORMAT MMMYYYY
CM,DATE IN FORMAT CCYYMM
CQ,DATE IN FORMAT CCYYQ
CY,YEAR EXPRESSED IN FORMAT CCYY
D6,DATE EXPRESSED IN FORMAT YYMMDD
D8,DATE EXPRESSED IN FORMAT CCYYMMDD
DA,RANGE OF DATES WITHIN A SINGLE MONTH EXPRESSED IN FORMAT DD-DD
DB,DATE EXPRESSED IN FORMAT MMDDCCYY
DD,DAY OF MONTH IN NUMERIC FORMAT
DDT,"RANGE OF DATES AND TIME, EXPRESSED IN CCYYMMDD-CCYYMMDDHHMM"
DT,DATE AND TIME EXPRESSED IN FORMAT CCYYMMDDHHMM
DTD,"RANGE OF DATES AND TIME, EXPRESSED IN CCYYMMDDHHMM-CCYYMMDD"
DTS,RANGE OF DATE AND TIME EXPRESSED IN FORMAT CCYYMMDDHHMMSS-CCYYMMD
EH,LAST DIGIT OF YEAR AND JULIAN DATE EXPRESSED IN FORMAT YDDD
KA,DATE EXPRESSED IN FORMAT YYMMMDD
MCY,MMCCYY
MD,MONTH OF YEAR AND DAY OF MONTH EXPRESSED IN FORMAT MMDD
MM,MONTH OF YEAR IN NUMERIC FORMAT
RD,RANGE OF DATES EXPRESSED IN FORMAT MMDDCCYY-MMDDCCYY
RD2,RANGE OF YEARS EXPRESSED IN FORMAT YY-YY
RD4,RANGE OF YEARS EXPRESSED IN FORMAT CCYY-CCYY
RD5,RANGE OF YEARS AND MONTHS EXPRESSED IN FORMAT CCYYMM-CCYYMM
RD6,RANGE OF DATES EXPRESSED IN FORMAT YYMMDD-YYMMDD
RD8,RANGE OF DATES EXPRESSED IN FORMAT CCYYMMDD-CCYYMMDD
RDM,RANGE OF DATES EXPRESSED IN FORMAT YYMMDD-MMDD
RDT,"RANGE OF DATE AND TIME, EXPRESSED IN FORMAT CCYYMMDDHHMM-CCYYMMDD"
RMD,RANGE OF MONTHS AND DAYS EXPRESSED IN FORMAT MMDD-MMDD
RMY,RANGE OF YEARS AND MONTHS EXPRESSED IN FORMAT YYMM-YYMM
RTM,RANGE OF TIME EXPRESSED IN FORMAT HHMM-HHMM
RTS,DATE AND TIME EXPRESSED IN FORMAT CCYYMMDDHHMMSS
TC,JULIAN DATE EXPRESSED IN FORMAT DDD
TM,TIME EXPRESSED IN FORMAT HHMM
TQ,DATE EXPRESSED IN FORMAT MMYY
TR,DATE AND TIME EXPRESSED IN FORMAT DDMMYYHHMM
TS,TIME EXPRESSED IN FORMAT HHMMSS
TT,DATE EXPRESSED IN FORMAT MMDDYY
TU,DATE EXPRESSED IN FORMAT YYDDD
UN,UNSTRUCTURED
YM,YEAR AND MONTH EXPRESSED IN FORMAT YYMM
YMM,"RANGE OF YEAR AND MONTHS, EXPRESSED IN CCYYMMM-MMM FORMAT"
YY,LAST TWO DIGITS OF YEAR EXPRESSED IN FORMAT CCYY
