Value,Description
B,LOADED WITH EMPTY 4-BLOCK FOR BLOCKING PURPOSES
D,EMPTY CONTAINERS WITH DUNNAGE
E,EMPTY CONTAINERS
L,LOADED WITH PRODUCTION MATERIAL
M,MIXED EMPTY AND LOADED
O,OBSOLETE MATERIAL
P,LOADED WITH RETURNED EXCESS PRODUCTION MATERIAL
R,LOADED WITH REJECTED MATERIAL
S,SERVICE PART OBSOLETE CONTAINER
U,LOADED WITH RETURNED PROCESSED MATERIAL
ZZ,MUTUALLY DEFINED
