Value,Description
BC,BARGE CARRYING VESSELS (LASH & SEABEE)
BD,BULK-DRY
BI,BARGE-INLAND
BK,BULK-UNDETERMINED
BL,BULK-LIQUID
BO,BARGE-OCEANGOING
CB,CONBULK
CT,CONTAINER
DG,DREDGE
DP,DISPLAY VESSELS
FH,FISHING
GC,GENERAL CARGO
GT,GOVERNMENT-NON-MILITARY
MT,MILITARY
PC,PARTIAL CONTAINER
PS,PASSENGER
RR,ROLL ON/ROLL OFF
SP,SUPPLY SHIP
TG,TUG
VH,VEHICLE CARRIER
