Value,Description
1,EQUIVALENT TO ISO P01
10,EQUIVALENT TO ISO P10
11,EQUIVALENT TO ISO P11
12,EQUIVALENT TO ISO P12
13,EQUIVALENT TO ISO M12
14,EQUIVALENT TO ISO M11
15,EQUIVALENT TO ISO M10
16,EQUIVALENT TO ISO M09
17,EQUIVALENT TO ISO M08
18,EQUIVALENT TO ISO M07
19,EQUIVALENT TO ISO M06
2,EQUIVALENT TO ISO P02
20,EQUIVALENT TO ISO M05
21,EQUIVALENT TO ISO M04
22,EQUIVALENT TO ISO M03
23,EQUIVALENT TO ISO M02
24,EQUIVALENT TO ISO M01
3,EQUIVALENT TO ISO P03
4,EQUIVALENT TO ISO P04
5,EQUIVALENT TO ISO P05
6,EQUIVALENT TO ISO P06
7,EQUIVALENT TO ISO P07
8,EQUIVALENT TO ISO P08
9,EQUIVALENT TO ISO P09
AD,ALASKA DAYLIGHT TIME
AS,ALASKA STANDARD TIME
AT,ALASKA TIME
CD,CENTRAL DAYLIGHT TIME
CS,CENTRAL STANDARD TIME
CT,CENTRAL TIME
ED,EASTERN DAYLIGHT TIME
ES,EASTERN STANDARD TIME
ET,EASTERN TIME
GM,GREENWICH MEAN TIME
HD,HAWAII-ALEUTIAN DAYLIGHT TIME
HS,HAWAII-ALEUTIAN STANDARD TIME
HT,HAWAII-ALEUTIAN TIME
LT,LOCAL TIME
MD,MOUNTAIN DAYLIGHT TIME
MS,MOUNTAIN STANDARD TIME
MT,MOUNTAIN TIME
ND,NEWFOUNDLAND DAYLIGHT TIME
NS,NEWFOUNDLAND STANDARD TIME
NT,NEWFOUNDLAND TIME
PD,PACIFIC DAYLIGHT TIME
PS,PACIFIC STANDARD TIME
PT,PACIFIC TIME
TD,ATLANTIC DAYLIGHT TIME
TS,ATLANTIC STANDARD TIME
TT,ATLANTIC TIME
UT,UNIVERSAL TIME COORDINATE
