Value,Description
AA,ACTUAL AMOUNT
AB,ESTIMATED AMOUNT
AC,NEGOTIATED AMOUNT
AD,MIXED AMOUNT
AE,ESTIMATED QUANTITY
AF,NEGOTIATED QUANTITY
AG,ACTUAL RATE
AH,ESTIMATED RATE
AI,NEGOTIATED RATE
AJ,MIXED AMOUNTS
AK,MIXED QUANTITIES
AL,MIXED RATES
AM,ACTUAL
AN,ESTIMATED
AO,NEGOTIATED
AP,MIXED
AQ,COST SHARE AMOUNT
