Value,Description
A,APPROVED VERSION
B,INITIAL RELEASE
C,CANCELLED
D,RELEASED FOR PRODUCTION
E,RELEASED TO ENGINEERING
F,RELEASED FOR QUOTATION
G,REPLACES
H,CONFIRMATION
J,PROPOSED
K,SELLER-INITIATED CHANGE
L,ENGINEERING CHANGE NOTICE
M,ENGINEERING CHANGE ORDER
N,ENGINEERING CHANGE REQUEST
P,CONDITIONAL
Z,MUTUALLY DEFINED
