Value,Description
A,AIR MILES
B,CARRIER'S RATE BASIS NUMBER
D,CARRIER'S DOCKET 28300 MILES
F,AIR KILOMETERS
K,KILOMETERS (ACTUAL)
L,TARIFF KILOMETERS
M,MILES (ACTUAL)
T,TARIFF MILES
X,MAXIMUM MILES
