Value,Description
BS,BUYER TO SELLER
SB,SELLER TO BUYER
SC,SUBCONTRACTOR TO SELLER
SD,SELLER TO DROP-SHIP DESIGNATED LOCATION
SF,SELLER TO FREIGHT FORWARDER
SS,SELLER TO SUBCONTRACTOR
ZZ,MUTUALLY DEFINED
