Value,Description
AA,AIR HOURS
AD,AIR DAYS
CD,CALENDAR DAYS (INCLUDES WEEKENDS AND HOLIDAYS)
CW,CALENDAR WEEKS (7 DAY)
HO,HOURS
SD,SURFACE DAYS
SH,SURFACE HOURS
WD,WORKING DAYS (EXCLUDES WEEKENDS AND HOLIDAYS)
WW,5 DAY WORK WEEK
ZZ,MUTUALLY DEFINED
