Value,Description
AA,PAPERWORK
BO,BAILMENT ORDER ONLY
DO,DIRECT ONLY
DW,DIRECT AND WHOLESALER
NR,NONRETURNABLE
NS,NONSERVICABLE
OR,ORDERING
SP,SPECIAL ORDER ONLY
SR,SHIPPING
SS,STATE STOCK PLAN
WO,WHOLESALER ONLY
