Value,Description
ASB,ASCII-BAUDOT FILTER
ASC,ASCII FILTER
B64,BASE 64
HDC,HEXADECIMAL FILTER
NOF,NO FILTER
R64,RADIX 64
UUE,UUENCODING
ZZZ,MUTUALLY DEFINED
