Value,Description
1,PALLETIZED
10,SHRINK-WRAP
11,LOADLOCK
2,FLOOR STACK/HAND PILE
3,MIXED
4,SLIP SHEET
5,MODULE
6,CLAMPABLE
7,BOP SHEET
8,AIRBAG/SLIPSHEET COMBINATION
9,THERMAL BLANKET (CARGO QUILT)
ZZ,MUTUALLY DEFINED
