Value,Description
1,PRICING MARKET
10,ZIP CODE
11,ZIP CODE BEGINNING VALUE
111,STORE GROUP
12,ZIP CODE ENDING VALUE
13,"D-U-N-S+4, D-U-N-S NUMBER WITH FOUR CHARACTER SUFFIX"
2,STORE NUMBER
3,SEE FREE-FORM TEXT
4,PROMOTION MARKET
5,PRICING AND PROMOTION MARKET-MANUFACTURER
6,ALL STORES
7,CO-OP ADVERTISING MARKET
8,PRICING AND PROMOTION MARKET-CUSTOMER
9,STATE OR PROVINCE ABBREVIATION CODE
GLN,GLOBAL LOCATION NUMBER (GLN)
