Value,Description
BM,BELLOWS METER
BO,BASED ON 120 DAYS LIST TO CONTRACT
DM,DISPLACEMENT METER
FT,FLANGE TAP
HN,HUBOMETER
MA,MEASURED OVER SIX MONTHS
MM,MERCURY METER
OM,ORIFICE METER
OU,ODOMETER
PT,PIPE TAP
TM,TURBINE METER
VA,VALUED AT 90 DAY MARKETING TIME METHOD
VB,VALUED AT 120 DAY MARKETING TIME METHOD
VC,VALUED AT 180 DAY MARKETING TIME METHOD
