Value,Description
AMT,FIXED AMOUNT DISCOUNT
CSH,% DISCOUNT FOR CASH PAYMENT
DOR,CASH DISCOUNT PER UNITS ORDERED
DPU,CASH DISCOUNT PER UNITS PURCHASED
DSH,CASH DISCOUNT PER UNITS SHIPPED
DSV,CASH DISCOUNT PER SERVICE
POR,% DISCOUNT PER UNITS ORDERED
PPU,% DISCOUNT PER UNITS PURCHASED
PSH,% DISCOUNT PER UNITS SHIPPED
PSV,% DISCOUNT PER SERVICE
UNT,ADDITIONAL UNITS PER UNITS PURCHASED
ZZZ,MUTUALLY DEFINED
