Value,Description
A,MIXED PALLET (MULTI-SKU PALLET WITH PRE-ASSIGNED U.P.C.)
B,DISPLAY PALLET (MULTI-SKU PALLET FOR DISPLAY WITH PRE-ASSIGNED U.
C,PICKED PALLET (MULTI-SKU PALLET WITHOUT PRE-ASSIGNED U.P.C.)
