Value,Description
1,BULK COMMODITY TRAIN
3D,THREE DAY SERVICE
9,PREMIUM SURFACE
9A,9 A.M.
AC,AIR CARGO
AE,AIR ECONOMY
AM,A.M.
BC,BUSINESS CLASS
CB,CONSIGNEE BILLING SERVICE
CE,COURIER EXPRESS
CG,GROUND
CX,EXPRESS SERVICE
D1,DELIVERY SCHEDULED NEXT DAY BY CARTAGE AGENT
D2,DELIVERY SCHEDULED SECOND DAY BY CARTAGE AGENT
D3,DELIVERY SCHEDULED THIRD DAY BY CARTAGE AGENT
DC,DELIVERY CONFIRMATION
DF,DEFERRED SERVICE
DR,DELIVERY CONFIRMATION RETURN
DS,DOOR SERVICE
DT,DELIVERY NOTIFICATION ONLY
ES,EXPEDITED SERVICE
ET,PROOF OF DELIVERY (POD) WITH SIGNATURE
FC,FIRST CLASS
G2,STANDARD SERVICE
GP,EXPRESS SERVICE PLUS
GT,TRACKING - GROUND
I2,INTERNATIONAL SECOND DAY
IA,IATA
IE,EXPEDITED SERVICE - WORLDWIDE
IS,INTERNATIONAL SERVICE
IX,EXPRESS SERVICE - WORLDWIDE
ME,METRO
MW,MULTIWEIGHT
ND,NEXT DAY AIR
NF,NEXT FLIGHT OUT
NH,NEXT DAY HUNDRED WEIGHT
NM,NEXT MORNING
NS,NOT SERVED
ON,OVERNIGHT
P1,PRIORITY SERVICE
P2,PRIMARY SERVICE AREA
PA,PRIMARY SERVICE AREA - NEXT DAY BY 10:30 A.M.
PB,PRIORITY MAIL
PC,PRIMARY SERVICE AREA - NEXT DAY BY 9:30 AM
PI,PRIORITY MAIL INSURED
PM,PM
PN,PRIMARY SERVICE AREA - NEXT DAY BY NOON
PO,P.O. BOX/ZIP CODE
PR,PRIMARY SERVICE AREA - NEXT DAY BY 5:00 P.M.
PS,PRIMARY SERVICE AREA - SECOND DAY BY NOON
PX,PREMIUM SERVICE
R1,PASSENGER SERVICE
R2,QUALITY INTERMODAL HIGH SPEED 70 MILES PER HOUR (MPH)
R3,OTHER INTERMODAL AND STACK SERVICE
R4,60 MILES PER HOUR (MPH) SERVICE
R5,MANIFEST FREIGHT
R6,CIRCUS TRAIN
R7,WORK TRAIN
R8,COMMUTER SERVICE
RS,AUTHORIZED RETURN SERVICE
SA,SAME DAY
SC,SECOND DAY AIR
SD,SATURDAY
SE,SECOND DAY
SG,STANDARD GROUND
SH,SECOND DAY HUNDRED WEIGHT
SI,STANDARD GROUND HUNDRED WEIGHT
SM,SECOND MORNING
SP,SATURDAY PICKUP
ST,STANDARD CLASS
ZZ,MUTUALLY DEFINED
