Value,Description
B,BARGE
C,CUBIC CENTIMETERS
D,CORD
E,CUBIC FEET
F,100 BOARD FEET
G,GALLONS
H,HUNDREDS OF MEASUREMENT TONS
L,LOAD
M,CUBIC DECIMETERS
N,CUBIC INCHES
R,CAR
S,MEASUREMENT TON
T,CONTAINER
U,VOLUMETRIC UNIT
V,LITER
X,CUBIC METERS
