Value,Description
A,ADJUSTMENT
AM,ANALYSIS MONTH
C,CYCLE
CD,CYCLE TO DATE
M,CURRENT MONTH
N,MONTH
P,PREVIOUS MONTH
Q,QUARTERLY
Y,YEAR TO DATE
