Value,Description
IMF,INTERNATIONAL MONETARY FUND
LNF,LONDON (ENGLAND) EXCHANGE - FIRST CLOSING
LNS,LONDON (ENGLAND) EXCHANGE - SECOND CLOSING
NYC,NEW YORK FOREIGN EXCHANGE
PHI,PHILADELPHIA FOREIGN EXCHANGE
ZUR,ZURICH (SWITZERLAND) EXCHANGE
