Value,Description
CA,DISCOUNT IN CASH
PC,DISCOUNT DETERMINED AS A PERCENTAGE OF THE VALUE OF THE TRANSACTI
UN,DISCOUNT DETERMINED TO BE ADDITIONAL UNITS THAT ARE DEFINED BY DI
ZZ,MUTUALLY DEFINED
