Value,Description
10,NEAREST CROSS STREET
11,SECONDARY CROSS STREET
12,RANGE
13,SECTION
14,QUARTER SECTION
18,MARKER IDENTIFIER LOCATION
19,ROUTE
20,ROUTE SUBDIVISION
21,GRID LOCATION
22,PAGE
27,MARKER TYPE
28,LATITUDE-LONGITUDE SOURCE
29,MAP SOURCE
30,MAP REFERENCE
31,GRID SOURCE
32,ALIQUOT
33,BLOCK
34,DISTRICT
35,DRAINHOLE NUMBER
36,CITY BLOCK
38,FOOTAGE CALL DIRECTION
39,LOCATION DIRECTION
40,OUTER CONTINENTAL LEASE LOCATION
41,LOT
42,MAP QUADRANGLE
43,PRINCIPAL MERIDIAN
44,OUTER CONTINENTAL SHELF AREA
45,OUTER CONTINENTAL SHELF BLOCK
46,OFFICIAL PROTRACTION DIAGRAM
47,QUARTER QUARTER QUARTER SECTION
48,QUARTER QUARTER SECTION
49,SECTION TYPE
50,ABSTRACT
52,LABOR
53,LEAGUE
54,SURVEY
55,TIER
57,TRACT
58,UNIVERSAL TRANSVERSE MERCATOR QUADRANT
59,COURSE DIRECTION
60,AREA
93,SENDER'S LOCATION CODE
94,RECEIVER'S LOCATION CODE
A,JURISDICTION TO RECEIVE CREDIT FOR UNIFORM COMMERCIAL CODE FILING
A1,OFFICE
AA,ANNUAL STATEMENTS MAILING ADDRESS
AC,CITY AND STATE
AP,ALL POINTS
AR,ARMED SERVICES LOCATION DESIGNATION
B,TRANSMITTING UTILITY
B1,BRANCH
BE,BUSINESS ECONOMIC AREA (BEA) REGION CODE
BL,GOVERNMENT BILL OF LADING OFFICE CODE (GBLOC)
BS,PLACE OF BUSINESS
C,CONSIGNOR
C2,GEOPOLITICAL NAME CODE
CA,COUNTRY OF ORIGIN
CB,CONFIRMATION MAILING ADDRESS
CC,COUNTRY
CD,CANADA CUSTOMS OFFICE CODE
CE,CORRESPONDENCE MAILING ADDRESS
CG,CONGRESSIONAL DISTRICT
CI,CITY
CL,NATIONAL RATE BASIS (NRB)
CM,CONSOLIDATED METROPOLITAN STATISTICAL AREA (CMSA)
CO,COUNTY/PARISH AND STATE
CR,IN TANK CAR
CS,CANADIAN SPLC
CY,COUNTY/PARISH
D,CENSUS SCHEDULE D
DC,DISTRIBUTION CENTER NUMBER
DE,DESTINATION (SHIPPING)
DL,DELIVERY LOCATION
DO,DISTRICT OFFICE
DP,DEPARTMENT
DR,DISTRICT OF RESIDENCE
DT,DOMICILE TYPE CODE
E,UNIFORM COMMERCIAL CODE FILING OFFICE
EA,EVENT LOCATION
EB,BOROUGH
EL,EMPLOYER LOCATION
F,CURRENT ADDRESS
FA,FACTORY
FE,FREIGHT EQUALIZATION POINT
FF,FOREIGN FREIGHT FORWARDER LOCATION
FI,FEDERAL INFORMATION PROCESSING STANDARDS (FIPS) 55 (NAMED POPULAT
FR,U.S. CUSTOM'S FACILITIES INFORMATION AND RESOURCE MANAGEMENT SYST
FS,FREIGHT STATION ACCOUNTING CODE
FT,FOREIGN TRADE ZONE
FV,FREE ALONGSIDE VESSEL (FREE ON BOARD  F.O.B.  POINT)
G,CENSUS BLOCK GROUP
GL,FREIGHT STATION GEOGRAPHIC LOCATION
H,HOME ADDRESS
I,HOME BASE ADDRESS
IA,INTERNATIONAL AIR TRANSPORT ASSOCIATION (IATA) LOCATION QUALIFIER
IB,ISSUE LOCATION
IM,MILITARY STANDARD MOVEMENT PROCEDURES (MILSTAMP)
IP,POSTAL
IS,IN STORE
IT,INTERMEDIATE FOB POINT
J,CENSUS TRACT
K,CENSUS SCHEDULE K
KE,PORT OF EMBARKATION
KL,PORT OF LOADING
KP,GOVERNMENT FURNISHED PROPERTY FOB POINT
L,LOCAL ADDRESS
LO,LOCAL OFFICE
M,MAILING ADDRESS
MI,MILL
MO,MAIN CAMPUS
MS,METROPOLITAN SAMPLING AREA (MSA) REGION CODE
MZ,MEXICAN POSTAL CODE
NS,CITY/STATE FROM POINTS
O,OFFICE ADDRESS
OA,ORIGIN (AFTER LOADING ON EQUIPMENT)
OF,OTHER UNLISTED FREE ON BOARD (FOB) POINT
OL,OPEN AND PREPAY STATION LIST CODE(SCAC & NUMBER)
OP,OTHER UNLISTED ACCEPTANCE POINT
OR,ORIGIN (SHIPPING POINT)
OV,ON VESSEL (FREE ON BOARD  FOB  POINT)
P,PERMANENT ADDRESS
PA,PORT OF ARRIVAL
PB,PORT OF DISCHARGE
PC,POLICY MAILING ADDRESS
PD,PLACE OF DELIVERY
PE,PORT OF ENTRY
PF,PARENTS ADDRESS
PG,PRIMARY
PH,PRIOR BUSINESS
PL,PLANT
PM,PRIMARY METROPOLITAN STATISTICAL AREA (PMSA)
PO,PRINCIPAL SERVICING OFFICE
PP,POOL POINT
PQ,3 DIGIT U.S. ZIP
PR,4 DIGIT U.S. ZIP
PS,5 DIGIT U.S. ZIP
PT,3 DIGIT CANADIAN POSTAL CODE
PU,6 DIGIT CANADIAN POSTAL CODE
PV,9 DIGIT U.S. ZIP
PZ,11 DIGIT U.S. ZIP
Q,BIRTHPLACE
RA,RATE AREA CODE
RC,IN RAIL CAR
RE,REGIONAL EDUCATION SERVICE AGENCY
RG,REGION CODE
RJ,REGION
RL,RURAL
RS,STANDARD CARRIER ALPHA CODE
RT,ROUTE ADMINISTRATIVE MESSAGE TO
SA,SECONDARY
SB,SUBURBAN
SC,CITY/STATE AND POINTS WITHIN
SD,SCHOOL DISTRICT
SE,SUMMER
SG,STORAGE
SH,SCHOOL CAMPUS CODE
SL,U.S. SPLC
SN,STORE NUMBER
SP,STATE/PROVINCE
SS,SCHOOL
ST,IN STORAGE TANK
SW,SWITCHING DISTRICT
TA,TANK
TC,TRANSCONTINENTAL FREIGHT BUREAU
TI,TRIBAL LAND
TL,TERMINAL CARGO LOCATION
TM,TERMINAL
TN,TOWNSHIP
TP,TEMPORARY
TR,RAIL TERRITORY
TX,TAXING DISTRICT
UN,UNITED NATIONS LOCATION CODE (UNLOCODE)
UR,URBAN
UT,BUSINESS UNIT
VA,VACATION
VI,VILLAGE
VS,VESSEL STOWAGE LOCATION
W,WORLDWIDE GEOGRAPHIC LOCATION CODE
WF,WHARF
WH,WAREHOUSE
WI,WINTER
X1,NATIONAL CENTER FOR EDUCATION STATISTICS LOCALE CODE
ZN,ZONE CODE
ZZ,MUTUALLY DEFINED
