Value,Description
CSD,COST MARKUP MULTIPLIER - ORIGINAL COST
CSR,COST MARKUP MULTIPLIER - RETAIL COST
DIS,DISCOUNT MULTIPLIER
ILP,COST MARKUP MULTIPLIER - WHOLESALE COST
PSP,PERCENT SOLUTION MULTIPLIER
SEL,SELLING MULTIPLIER
