Value,Description
AE,ARCHITECT AND ENGINEERING
CN,CONSTRUCTION
DR,"DEMOLISH, DISMANTLE OR REPLACE"
ED,EDUCATION
ER,EQUIPMENT RENTAL
EX,EXTENSION
FC,FACILITIES
FL,FELLOWSHIP
HW,HARDWARE
IR,INSPECT AND REPAIR AS NECESSARY
MD,MODIFICATION
OV,OVERHAUL
PS,PUBLIC SERVICE
RD,RESEARCH AND DEVELOPMENT
RE,REPAIR
SB,SHIPBUILDING
SF,STUDENT FINANCIAL AID
SP,SUPPLIES
SS,STUDENT SERVICES
SU,SUBSISTENCE
SV,SERVICES
TE,TEST AND EVALUATION
UT,UTILITIES
