Value,Description
A,MIXED TAX RATE
AA,LOWER RATE
AB,EXEMPT FOR RESALE
AC,VALUE ADDED TAX (VAT) NOT NOW DUE FOR PAYMENT
AD,VALUE ADDED TAX (VAT) DUE FROM A PREVIOUS INVOICE
B,TRANSFERRED (VAT)
C,DUTY PAID BY SUPPLIER
E,EXEMPT FROM TAX
G,"FREE EXPORT ITEM, TAX NOT CHARGED"
H,HIGHER RATE
O,SERVICES OUTSIDE SCOPE OF TAX
S,STANDARD RATE
Z,ZERO RATED GOODS
